model,outcome,term,n,estimate,lci,uci,pvalue
aPR_awareness,ccp5_bin,Rural (ref: urban),3899,.933249998538187,.8665016698672984,1.005140082309258,.0680164997928437
aPR_awareness,ccp5_bin,Age 15-19 (ref: 25-29),3899,.626114674948722,.5611100096345358,.6986501389299316,2.86545065633e-16
aPR_awareness,ccp5_bin,Age 20-24 (ref: 25-29),3899,.9179978463486554,.8548126235946297,.9858535340259612,.018768817879536
aPR_awareness,ccp5_bin,Formerly married/union (ref: current),3899,.8815886921960469,.7295417212907924,1.065324435226026,.1916069199504173
aPR_awareness,ccp5_bin,Never married/union (ref: current),3899,1.049910836621428,.8679831144665313,1.269970286844342,.6154397101535565
aPR_awareness,ccp5_bin,Primary or less (ref: upper secondary+),3899,.4751131977042125,.3302976501612739,.6834216063072326,.0000649120682354
aPR_awareness,ccp5_bin,Lower secondary (ref: upper secondary+),3899,.8361998980880913,.7540519558149145,.9272972030247786,.0007217319652145
aPR_awareness,ccp5_bin,Uninsured (ref: insured),3899,.997452985068928,.8979615085496777,1.107967822618394,.9620064457474127
aPR_awareness,ccp5_bin,Ethnic minority (ref: Kinh/Hoa),3899,.8597390351578351,.7453434943681928,.9916920375090728,.0380671132869879
aPR_awareness,ccp5_bin,Q1 poorest (ref: Q5 richest),3899,.5762911455648041,.4804569705902584,.6912408494113084,4.28911061674e-09
aPR_awareness,ccp5_bin,Q2 (ref: Q5 richest),3899,.8017208970521268,.7262992949902828,.8849745569127483,.0000130234113669
aPR_awareness,ccp5_bin,Q3 (ref: Q5 richest),3899,.812393716977392,.7433632332494052,.887834536151874,5.18034639176e-06
aPR_awareness,ccp5_bin,Q4 (ref: Q5 richest),3899,.8901974715617738,.8287394037865694,.9562131772113254,.0014760563879048
aPR_awareness,ccp5_bin,Mass media exposure (ref: no),3899,1.146763505284433,.9814919475602966,1.339864825504796,.0844851772782412
aPR_awareness,ccp5_bin,Rejects all wife-beating justifications (ref: no),3899,1.233768826382144,1.065506975534605,1.428602113269728,.0050474514476655
aPR_awareness,ccp5_bin,Ever had sexual intercourse (ref: no),3899,1.024148557577663,.8565807489268285,1.224496662226536,.7932283878662135
aPR_vaccination,ccp6_bin,Rural (ref: urban),3899,.7796174377414189,.5467606561841412,1.111644267662514,.1687416366753186
aPR_vaccination,ccp6_bin,Age 15-19 (ref: 25-29),3899,.513528677624685,.3048835413019719,.8649588023571415,.0123111917113157
aPR_vaccination,ccp6_bin,Age 20-24 (ref: 25-29),3899,1.149651233449841,.7961617219472326,1.660087293998718,.4563669190061557
aPR_vaccination,ccp6_bin,Formerly married/union (ref: current),3899,1.482067226818128,.6973676246829255,3.149735070949239,.3058720083744492
aPR_vaccination,ccp6_bin,Never married/union (ref: current),3899,1.194645895415765,.5777693701282426,2.470153125488387,.6308800808072377
aPR_vaccination,ccp6_bin,Primary or less (ref: upper secondary+),3899,.3272254849465632,.0604909222169995,1.770125401864386,.1942885080216563
aPR_vaccination,ccp6_bin,Lower secondary (ref: upper secondary+),3899,.4217489789082724,.2266363622048115,.784835228909239,.0065085179251628
aPR_vaccination,ccp6_bin,Uninsured (ref: insured),3899,.6756309780216661,.3813302153784817,1.197065430572937,.1787511898910142
aPR_vaccination,ccp6_bin,Ethnic minority (ref: Kinh/Hoa),3899,.743174867984865,.3066715910838528,1.800978311855774,.5104938302025139
aPR_vaccination,ccp6_bin,Q1 poorest (ref: Q5 richest),3899,.1182262937426339,.0389899055094246,.3584891101811194,.0001710940959771
aPR_vaccination,ccp6_bin,Q2 (ref: Q5 richest),3899,.5848144345183295,.3652161056382653,.9364535614421705,.0255917640645713
aPR_vaccination,ccp6_bin,Q3 (ref: Q5 richest),3899,.4371214025068098,.277858890073943,.6876696314401604,.0003596730108141
aPR_vaccination,ccp6_bin,Q4 (ref: Q5 richest),3899,.6309859854721247,.4211497043665635,.9453724168251805,.02565687031675
aPR_vaccination,ccp6_bin,Mass media exposure (ref: no),3899,1.959680808164396,.7628250644867001,5.034376882296083,.1619488241457488
aPR_vaccination,ccp6_bin,Rejects all wife-beating justifications (ref: no),3899,1.613669842534604,.8609083365225513,3.02463136926244,.1352708198249751
aPR_vaccination,ccp6_bin,Ever had sexual intercourse (ref: no),3899,.739143366907797,.3523920935068288,1.550355206346896,.4233013848232895
aPR_gap,gap,Rural (ref: urban),4033,1.024401450688692,.9757906179741564,1.075433922855046,.3305654100379155
aPR_gap,gap,Age 15-19 (ref: 25-29),4033,1.053252474385356,.9786504324057754,1.13354139339808,.1659976787507107
aPR_gap,gap,Age 20-24 (ref: 25-29),4033,.9747491963129943,.9287623560379616,1.023013033997249,.2991421753291976
aPR_gap,gap,Formerly married/union (ref: current),4033,.9552473832675076,.8561875689628744,1.065768292273568,.4118686562417758
aPR_gap,gap,Never married/union (ref: current),4033,.9731302255507268,.8860601022431438,1.068756434787024,.5684953358746487
aPR_gap,gap,Primary or less (ref: upper secondary+),4033,1.008318195010717,.9404226246087783,1.081115613113441,.8155818833775145
aPR_gap,gap,Lower secondary (ref: upper secondary+),4033,1.041309253400764,1.002639086906195,1.081470865617174,.0360784165861145
aPR_gap,gap,Uninsured (ref: insured),4033,1.039442295704578,.9910264093807167,1.090223505521675,.1117598277489734
aPR_gap,gap,Ethnic minority (ref: Kinh/Hoa),4033,1.010020233806092,.9570475247523252,1.065924989421728,.7164331695519142
aPR_gap,gap,Q1 poorest (ref: Q5 richest),4033,1.136959105695065,1.055030321951628,1.22525010052004,.0007944415123213
aPR_gap,gap,Q2 (ref: Q5 richest),4033,1.070022615114725,.9920700660237312,1.154100336326009,.0794028198084579
aPR_gap,gap,Q3 (ref: Q5 richest),4033,1.103692386975694,1.02805413384959,1.184895663525756,.0065231414431606
aPR_gap,gap,Q4 (ref: Q5 richest),4033,1.073287144757391,.9944729223398545,1.158347572089854,.0690807116419017
aPR_gap,gap,Mass media exposure (ref: no),4033,.9618776235887189,.9187606650929742,1.007018038443183,.0965643639079907
aPR_gap,gap,Rejects all wife-beating justifications (ref: no),4033,.977894985056589,.9291237595524441,1.029226291941412,.3912661159853866
aPR_gap,gap,Ever had sexual intercourse (ref: no),4033,1.050058541491826,.9454138729909747,1.166285974915524,.3612598563151691
aPR_vaccination_aware,ccp6_aware,Rural (ref: urban),4033,.8574361267916328,.6095787467042122,1.206073399872287,.3763868295417462
aPR_vaccination_aware,ccp6_aware,Age 15-19 (ref: 25-29),4033,.7674683591304907,.4682917314604966,1.257779377033768,.2932208335817651
aPR_vaccination_aware,ccp6_aware,Age 20-24 (ref: 25-29),4033,1.204088834475766,.8345582345563841,1.737242365213587,.3202028840636917
aPR_vaccination_aware,ccp6_aware,Formerly married/union (ref: current),4033,1.506293512553281,.7330782635519651,3.095058548000809,.2644371948358924
aPR_vaccination_aware,ccp6_aware,Never married/union (ref: current),4033,1.256626207394954,.6273708249509141,2.517027190793223,.5187127385179695
aPR_vaccination_aware,ccp6_aware,Primary or less (ref: upper secondary+),4033,.8003506713859567,.1689095182342859,3.792333338488727,.7787357393947953
aPR_vaccination_aware,ccp6_aware,Lower secondary (ref: upper secondary+),4033,.509875358014574,.2713056724968211,.9582286957657918,.0364291588030397
aPR_vaccination_aware,ccp6_aware,Uninsured (ref: insured),4033,.6787614045519684,.3852888423984073,1.195770532677293,.1795484773402214
aPR_vaccination_aware,ccp6_aware,Ethnic minority (ref: Kinh/Hoa),4033,.8064946178974344,.3466465524231432,1.87635954879932,.6171873385501243
aPR_vaccination_aware,ccp6_aware,Q1 poorest (ref: Q5 richest),4033,.202999393325707,.0691843679530763,.5956367733033942,.0037493517460759
aPR_vaccination_aware,ccp6_aware,Q2 (ref: Q5 richest),4033,.7497955977696665,.4742865979379192,1.185345402714413,.2174449496528246
aPR_vaccination_aware,ccp6_aware,Q3 (ref: Q5 richest),4033,.5612439635645804,.3558467185796272,.8851979523514817,.0130507206009521
aPR_vaccination_aware,ccp6_aware,Q4 (ref: Q5 richest),4033,.7016678167673224,.4669918830437744,1.054274695050471,.0879861982976537
aPR_vaccination_aware,ccp6_aware,Mass media exposure (ref: no),4033,1.938656296321451,.7635634704500596,4.922168726918715,.1634716080311265
aPR_vaccination_aware,ccp6_aware,Rejects all wife-beating justifications (ref: no),4033,1.252784568041235,.6947730694468738,2.258966622255174,.4531611539169655
aPR_vaccination_aware,ccp6_aware,Ever had sexual intercourse (ref: no),4033,.784501620656737,.3873813429749104,1.588725951763008,.4996933208395989
OR_awareness,ccp5_bin,Rural (ref: urban),3899,.7756781267512032,.5885753517623334,1.022259179761256,.0712257889284166
OR_awareness,ccp5_bin,Age 15-19 (ref: 25-29),3899,.230314255227613,.1598635838872121,.3318120041552078,1.15435250591e-14
OR_awareness,ccp5_bin,Age 20-24 (ref: 25-29),3899,.7151127523242672,.5498961289350288,.9299688097953677,.0124396267718078
OR_awareness,ccp5_bin,Formerly married/union (ref: current),3899,.65467785402409,.3938286592560646,1.088298381735883,.1021855239422278
