outcome,index_type,n,estimate,se,lci,uci,pvalue
ccp5_bin,standard,4102,.14872670469124,.0089077573941603,.1312678210156654,.1661855883668145,1.39418311268e-62
ccp5_bin,erreygers,4102,.3711015010916256,.0222265540488873,.3275382556553736,.4146647465278775,1.39418311266e-62
ccp6_bin,standard,4102,.3892347238365095,.0474741247516635,.2961871491256874,.4822822985473315,2.42633927058e-16
ccp6_bin,erreygers,4102,.1163496511824875,.0141909175024427,.0885359639701208,.1441633383948543,2.42633927058e-16
gap,standard,2133,-.0349853100850853,.0059427868822778,-.0466329583421468,-.0233376618280238,3.93219202900e-09
gap,erreygers,2133,-.123176552473924,.0209234103818423,-.1641856832560863,-.0821674216917617,3.93219202900e-09
