outcome,variable,dydx,mean_x,ci_x,contribution,percentage,variable_label
ccp5_bin,age_15_19,-.27621910887423,.2899755063780176,.0297958666900898,-.0095462114360856,-2.572399035844533,Age 15-19
ccp5_bin,age_20_24,-.0630623818553546,.2984625065676587,-.0166953792168872,.0012569454531001,.3387066474812706,Age 20-24
ccp5_bin,rural,-.0498153348287982,.6208667195273246,-.1653613687060828,.0204576377547994,5.5126798718468,Rural residence
ccp5_bin,minority,-.0648639273198254,.1488091397073063,-.6860983234448543,.0264898314978741,7.138163391943192,Ethnic minority
ccp5_bin,insu,.003617813372572,.1383037915163285,-.1195526306680612,-.0002392761290285,-.0644772732863141,Uninsured
ccp5_bin,mstatus2,-.0754149871233029,.0341901032125905,-.2177471326530096,.0022457970613579,.6051705678235354,Formerly married/union
ccp5_bin,mstatus3,.0620811860886859,.4879699830126644,.1224809651529573,.0148416335593445,3.999346139987741,Never married/union
ccp5_bin,edu1,-.2620280939881624,.0517465771955076,-.6865217155659857,.0372343482730285,10.03346743774967,Primary or less
ccp5_bin,edu2,-.1018527580298919,.2218034536531877,-.3611377780649074,.0326342781457773,8.793895484060538,Lower secondary
ccp5_bin,ses1,-.3015526502193571,.1897314295284913,-.8102685701038509,.1854348738059203,49.96877492018985,Q1 poorest
ccp5_bin,ses2,-.1874315248250571,.2114871690434321,-.4090499713059188,.0648579204951376,17.47713773842268,Q2
ccp5_bin,ses3,-.1819328004678289,.2199732848202606,.0224104821047877,-.0035875018641468,-.966717152475504,Q3
ccp5_bin,ses4,-.1153834655861791,.2010716825546213,.4434554501034932,-.0411532822869073,-11.08949496723985,Q4
ccp5_bin,mme,.0630375239050881,.9113533374930159,.0489797253299925,.0112554346532509,3.032980093085616,Mass media exposure
ccp5_bin,dvindex,.10189898459135,.9022117878946168,.0246709770017675,.0090724522939242,2.444736080893449,Gender-equitable attitude
ccp5_bin,sb1n,.0382337271410303,.5465149990536948,-.102991216940431,-.0086081317063009,-2.319616514883216,Ever had sex
ccp5_bin,Residual,,,,.02845475152058,7.667646570245061,Residual
ccp6_bin,age_15_19,-.0526444910012068,.2899755063780176,.0297958666900898,-.0018194086719447,-1.563742266052101,Age 15-19
ccp6_bin,age_20_24,.0098907231082627,.2984625065676587,-.0166953792168872,-.00019713970632,-.1694372989660084,Age 20-24
ccp6_bin,rural,-.0193192482411953,.6208667195273246,-.1653613687060827,.0079338256697803,6.818950971616163,Rural residence
ccp6_bin,minority,-.018151265389776,.1488091397073063,-.6860983234448543,.0074128098854939,6.371149212873309,Ethnic minority
ccp6_bin,insu,-.0283192826991561,.1383037915163285,-.1195526306680611,.0018729900200185,1.609794271820219,Uninsured
ccp6_bin,mstatus2,.0256471888107921,.0341901032125905,-.2177471326530097,-.0007637524510771,-.6564286556211094,Formerly married/union
ccp6_bin,mstatus3,.0103258289490374,.4879699830126644,.1224809651529574,.0024685766995359,2.121688096566888,Never married/union
